Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
ALARX,Alger Capital Appreciation Instl I,11/8/1993,No,US Equity Large Cap Growth,99.00,852757987.00,27055.32,2.19,10.60,20.91,1.44,30.94,5.33,3.61,8.78,29.96,11.10,15.19,1.56,1.19,4.51,2.02,11.09,0.26,-0.17,7.96,11.42
ALBAX,Alger Growth & Income A,12/31/1996,No,US Equity Large Cap Blend,132.00,61594325.00,36974.84,2.49,10.66,19.49,1.42,31.97,8.65,6.34,15.49,21.98,13.43,15.41,2.37,1.17,7.02,1.63,10.63,3.28,0.85,9.87,10.17
ALFAX,Lord Abbett Alpha Strategy A,3/18/1998,No,US Equity Small Cap,0.00,611011480.00,1200.86,2.05,9.48,18.48,1.03,27.78,5.77,3.01,8.69,,,19.60,1.81,0.86,5.93,1.24,14.11,-2.69,-5.01,-3.48,-0.62
ALGRX,Alger Capital Appreciation Focus I,11/8/1993,No,US Equity Large Cap Growth,96.00,46998164.00,52370.57,2.73,11.31,20.03,1.48,30.30,11.55,7.91,18.20,17.92,14.62,15.66,2.54,1.23,7.13,1.85,11.16,3.86,4.35,10.71,10.93
ALMAX,Alger SMid Cap Growth A,5/8/2002,No,US Equity Mid Cap,122.00,683971205.00,2334.91,2.28,11.44,21.18,1.33,32.55,4.38,3.23,6.35,22.39,4.29,18.47,1.90,1.07,6.70,0.92,13.92,10.69,5.46,9.37,18.05
ALMRX,Alger Mid Cap Growth Institutional I,11/8/1993,No,US Equity Mid Cap,107.00,981263161.00,4506.92,2.41,10.40,23.34,1.50,31.66,4.19,1.71,5.79,25.46,4.84,18.37,1.77,1.16,4.07,1.39,13.62,4.29,6.48,12.04,21.17
ALOIX,AllianzGI International Small-Cap Instl,12/31/1997,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
ALSCX,Alger Small Cap Growth B,11/11/1986,No,US Equity Small Cap,121.00,351456115.00,1467.87,2.31,9.94,20.06,1.26,32.55,5.23,2.04,5.25,27.08,1.01,18.96,1.90,1.07,6.58,0.76,14.09,11.32,6.70,5.55,15.99
ALSRX,Alger Small Cap Growth Institutional I,11/8/1993,No,US Equity Small Cap,121.00,1194611649.00,1469.15,2.31,9.95,20.05,1.26,32.54,5.24,2.05,5.27,27.11,1.02,18.96,1.90,1.07,6.58,0.76,14.09,11.34,6.74,5.55,16.04
ALTEX,Firsthand Alternative Energy,10/29/2007,No,Technology Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
ALTFX,AB Sustainable Global Thematic A,3/1/1982,No,Global Equity,82.00,1215560102.00,16258.21,2.56,9.64,21.17,1.58,28.66,12.09,5.78,13.09,30.88,8.83,19.19,1.94,1.20,4.84,1.69,13.88,12.75,10.51,12.20,11.65
ALVIX,American Century Large Company Value Inv,7/30/1999,No,US Equity Large Cap Value,102.00,1310546136.00,55307.32,1.73,7.17,16.35,1.05,38.39,5.82,3.53,9.81,13.80,10.63,12.34,1.71,0.80,5.47,3.40,8.04,-4.92,-3.15,9.89,11.24
ALVOX,Alger Capital Appreciation Ptfl I-2,1/25/1995,No,US Equity Large Cap Growth,99.00,263213047.00,25357.24,2.20,10.76,20.95,1.44,30.97,5.41,3.53,8.84,30.15,10.97,15.29,1.57,1.20,4.51,2.05,11.12,0.40,-0.06,5.31,11.69
AMAGX,Amana Growth Investor,2/3/1994,No,US Equity Large Cap Growth,81.00,1541310588.00,24047.20,2.91,10.04,18.89,1.46,25.95,12.25,8.82,18.07,14.87,14.81,16.12,2.81,1.16,7.88,1.53,11.88,10.87,9.26,15.84,12.71
AMANX,Amana Income Investor,6/23/1986,No,US Equity Large Cap Blend,81.00,1044799827.00,32609.91,2.69,8.93,17.68,1.45,33.88,10.26,7.03,17.85,14.34,14.26,14.27,2.74,0.99,6.39,3.03,7.95,18.58,0.85,12.03,8.01
AMCGX,Alger Mid Cap Growth B,5/24/1993,No,US Equity Mid Cap,106.00,343825581.00,4491.68,2.42,10.39,23.29,1.50,31.41,4.25,1.74,5.84,25.53,4.84,18.35,1.78,1.16,4.06,1.32,13.77,4.48,6.43,12.28,21.22
AMCIX,AllianzGI Micro Cap Institutional,7/12/1995,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
AMCMX,AMG Managers Montag & Caldwell MC Gr N,11/2/2007,No,US Equity Mid Cap,52.00,3108731.00,5570.01,3.28,13.00,19.89,1.71,26.44,10.21,8.74,19.06,17.01,13.14,18.90,3.24,1.44,9.46,1.08,14.97,8.21,9.72,13.99,15.66
AMCPX,American Funds AMCAP A,5/1/1967,No,US Equity Large Cap Growth,149.00,19320934021.00,24487.46,2.49,10.64,20.33,1.24,26.05,7.08,5.82,14.18,14.82,13.54,16.92,2.31,1.03,7.99,2.41,11.94,2.54,6.26,12.45,12.99
AMDEX,AMIDEX35 Israel,6/8/1999,Yes,Other Equity,40.00,19506732.00,6174.31,2.31,8.12,15.01,1.17,40.82,11.66,8.71,22.35,,,7.42,2.20,0.79,2.91,7.79,13.18,25.18,-5.32,6.53,55.76
AMDWX,Amana Developing World Investor,9/28/2009,No,Emerging Markets Equity,28.00,4924812.00,10925.53,2.71,8.37,15.93,1.81,21.07,17.51,12.35,20.35,,15.70,12.48,2.09,1.12,6.30,4.43,12.41,12.18,14.43,22.18,10.07
AMGOX,Alger Mid Cap Growth I-2,5/3/1993,No,US Equity Mid Cap,107.00,193535416.00,4514.42,2.40,10.40,23.29,1.50,31.56,4.20,1.72,5.78,25.51,4.84,18.37,1.77,1.16,4.07,1.39,13.62,4.47,6.48,12.08,21.21
AMLCX,AlphaMark Large Cap Growth,10/31/2008,No,US Equity Large Cap Growth,34.00,12806299.00,20433.87,2.92,10.62,19.77,2.15,28.77,13.96,7.33,14.23,13.47,14.95,16.36,2.64,1.59,4.16,1.27,12.17,13.78,10.54,15.49,14.03
AMOMX,AQR Large Cap Momentum Style I,7/9/2009,No,US Equity Large Cap Growth,280.00,7026646.00,26344.42,2.60,9.84,23.12,1.37,31.98,9.06,5.63,14.51,15.52,15.10,17.00,2.68,0.83,6.18,1.41,11.98,9.16,0.69,4.80,9.95
AMRGX,American Growth One D,7/31/1958,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
AMRMX,American Funds American Mutual A,2/21/1950,No,US Equity Large Cap Value,134.00,15553248777.00,37663.62,2.28,8.03,16.76,1.23,38.68,9.23,5.42,15.33,15.12,12.36,13.78,2.33,0.94,6.28,3.79,8.38,3.75,-1.11,10.21,10.56
AMVIX,American Century Adaptive Equity Inv,11/30/1999,No,US Equity Large Cap Blend,85.00,87706078.00,2296.78,2.62,6.27,16.89,0.65,39.10,1.84,1.85,11.77,8.94,9.88,13.91,2.23,0.39,4.05,1.27,12.80,15.15,-14.70,0.64,12.66
AMWYX,ALPS | WMC Research Value A,8/10/1971,No,US Equity Large Cap Blend,94.00,78757557.00,33755.54,1.61,6.37,16.23,0.88,39.39,5.95,2.44,9.50,11.69,10.70,11.85,1.58,0.69,4.44,2.98,8.45,-2.10,0.38,6.69,12.50
ANCCX,Ancora MicroCap C,9/2/2008,No,US Equity Small Cap,65.00,3811753.00,102.15,0.68,5.09,,0.49,8.32,-12.99,-11.03,-15.21,,-8.68,18.75,0.73,0.44,3.58,2.18,15.62,-20.61,-8.84,-3.14,-15.52
ANCFX,American Funds Fundamental Invs A,8/1/1978,No,US Equity Large Cap Blend,206.00,43436830407.00,40439.60,2.28,9.62,17.43,1.48,33.55,10.96,6.52,15.48,16.71,13.05,15.12,2.13,1.19,6.95,2.84,8.94,8.62,1.44,10.15,12.95
ANEFX,American Funds New Economy A,12/1/1983,No,US Equity Large Cap Growth,167.00,6768425705.00,20746.64,2.24,7.50,20.82,1.48,30.50,7.99,4.24,10.86,16.13,13.32,16.66,2.07,1.20,6.27,2.12,12.02,17.77,2.43,2.53,-1.87
ANJIX,AllianzGI NFJ International Value Instl,1/31/2003,No,Global Equity Large Cap,48.00,1511479887.00,21848.51,1.61,6.44,14.71,1.13,31.76,12.42,5.64,17.39,12.64,11.02,11.40,1.62,0.90,4.30,4.26,8.24,-0.01,-1.47,0.81,-5.76
ANOIX,American Century Small Cap Growth Inv,6/1/2001,No,US Equity Small Cap,189.00,447956183.00,899.85,2.17,5.95,,0.74,41.45,-3.73,-2.32,-3.25,36.26,9.05,18.14,1.98,0.57,4.28,1.59,15.75,-7.06,-8.26,0.57,4.10
ANSIX,Ancora Special Opportunity I,1/5/2004,No,US Equity Small Cap,23.00,8327637.00,411.64,0.89,,,0.40,32.27,-13.14,-4.64,-6.41,,-3.43,15.02,0.84,0.61,5.08,5.95,10.46,-8.97,-30.51,-28.42,-17.54
ANUIX,AllianzGI NFJ Global Dividend Val Instl,6/26/2009,No,Global Equity,45.00,3765795.00,29695.23,1.77,7.08,14.04,1.12,35.48,14.35,5.79,18.00,13.44,13.64,10.65,1.77,0.91,5.10,5.33,7.34,-5.54,-3.10,4.09,-5.73
ANVIX,AllianzGI NFJ Large-Cap Value Instl,5/8/2000,No,US Equity Large Cap Value,57.00,1300867035.00,32593.72,1.65,7.18,15.31,0.79,36.58,4.75,2.69,8.82,15.54,9.88,11.14,1.71,0.60,4.27,3.79,8.35,2.36,-2.16,10.50,1.05
