Calender_Year_Year End,Name,Ticker,Primary_Prospectus_Benchmark,#_of_Holdings,Turnover_Ratio,Total_Market_Value,P_B,P_C,P_E,P_S,Debt_to_Capital,Net_Margin,ROA,ROE,Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth,1Yr_Return,1Yr_Return_BM
2005,Pear Tree Polaris Foreign Value Ord,QFVOX,MSCI EAFE NR USD,52,10,"337,562,823",2.43,7.3,12.55,0.86,2.68,9.63,6.91,18.13,9.64,1.71,0.81,6.89,2.86,11.87,16.95,7.73,5.44,-1.81,31.03,26.34
2005,SSgA International Stock Selection N,SSAIX,MSCI EAFE NR USD,106,59,"401,370,892",3.01,9.16,16.33,1.1,1.96,10.1,5.76,19.02,13.72,2.35,1.15,6.83,2.39,11.29,20.07,2.63,-4.77,6.78,30.54,26.34
2005,Goldman Sachs Focused Intl Equity Svc,GSISX,MSCI EAFE NR USD,50,49,"432,385,436",3.31,10.47,18.6,1.32,1.82,8.7,5.51,16.33,17.07,1.9,1.22,10.16,2.35,12.49,8.19,1.3,5.52,2.43,21.71,26.34
2005,Calvert International Equity A,CWVGX,MSCI EAFE NR USD,254,49,"453,246,519",3.14,8.86,15.48,1.06,3.24,11.1,6.67,20.5,14.21,2.35,1.02,7.65,3.05,8.62,13.76,0.57,2.18,4.84,26.6,26.34
2005,VALIC Company I International Eqs Idx,VCIEX,MSCI EAFE NR USD,"1,164",68,"548,136,800",3.09,9.38,16.38,1.19,2.26,11.48,5.64,17.98,15.06,2.28,1.19,8.04,2.88,11.15,15.88,2.68,1.42,3.44,23.06,26.34
2005,BBH Partner Fund - International Eq I,BBHLX,MSCI EAFE NR USD,107,5,"649,565,675",3.17,10.11,17.39,1.42,0.82,13.57,7.74,18.37,16.38,2.31,1.42,10.23,2.94,11.07,16.83,6.73,4.21,3.32,24.13,26.34
2005,Artisan International Value Investor,ARTKX,MSCI EAFE NR USD,47,53,"658,095,470",2.34,9.94,16.87,1.13,3.88,9.56,7.07,18.34,17.19,2.14,1.08,9.1,2.43,9.46,0.5,1.52,2.85,-5.96,34.46,26.34
2005,Wells Fargo Diversified Intl A,SILAX,MSCI EAFE NR USD,308,46,"692,107,922",2.83,8.61,15.76,0.97,2.65,10.42,4.72,16.53,14.41,2.02,0.99,8.17,2.56,10.72,14.06,3.94,1.67,1.83,24.45,26.34
2005,GMO Tax-Managed International Eq III,GTMIX,MSCI EAFE NR USD,413,44,"724,326,910",2.89,8.61,15.2,0.96,2.65,10.69,6.04,20.73,13.09,2.23,0.93,6.89,2.85,9.98,13.37,5.16,-0.44,6.29,25.42,26.34
2005,ClearBridge International Growth C,LMGTX,MSCI EAFE NR USD,31,20,"736,636,274",3.24,16.17,21.61,2.52,30.24,14.82,10.98,19.53,21.74,2.98,2.38,11.6,0.78,14.63,20.61,11.64,12.42,16.82,0.62,26.34
2005,Brandes International Equity I,BIIEX,MSCI EAFE NR USD,79,21,"747,355,959",2.16,5.96,16.16,0.73,5.2,6.74,3.68,13.36,17.07,1.77,0.68,5.21,2.3,12.39,7.69,0.74,1.16,-1.12,26.1,26.34
2005,Artisan International Small Cap Investor,ARTJX,MSCI EAFE NR USD,92,57,"827,399,176",3.17,10.81,14.4,1.23,1.33,13.24,6.9,14.49,3.35,2.13,0.96,4.96,1.44,22.83,-17.51,-18.75,-1.03,16.58,33.18,26.34
2005,Morgan Stanley Inst Active Intl Allc I,MSACX,MSCI EAFE NR USD,930,24,"852,527,350",2.91,9.58,17.57,1.22,2.12,11.85,5.52,16.45,15.33,2.21,1.21,8.15,2.46,11.16,16.03,4.18,1.7,5.36,24.34,26.34
2005,State Street Instl International Eq Inv,SIEIX,MSCI EAFE NR USD,105,52,"861,926,252",3.35,11.45,18.02,1.5,3.27,11.77,6.81,18.92,16.24,2.64,1.52,9.01,2.09,13.48,21.98,4.15,2.82,10.92,25.2,26.34
2005,PACE International Equity P,PCIEX,MSCI EAFE NR USD,546,39,"915,643,800",3.02,9.36,16.2,1.19,1.76,11.18,5.84,18.1,14.83,2.25,1.21,7.78,2.69,11.21,16.63,3.47,1.77,4.06,28.46,26.34
2005,TIAA-CREF International Eq Instl,TIIEX,MSCI EAFE NR USD,160,147,"931,761,268",3.05,10.04,17.13,1.04,3.12,9.44,4.66,14.6,16.41,2.26,0.92,8.49,2.08,11.8,14.31,3.43,0.16,-3.08,29.22,26.34
2005,Delaware Intl Value Equity A,DEGIX,MSCI EAFE NR USD,57,14,"949,101,134",3.01,8.4,14.36,1.15,1.45,12.39,6.15,19.33,13.88,2.22,1.22,8.28,3.26,10.65,17.65,5.3,2.51,2.05,22.93,26.34
2005,Consulting Group International Equity,TIEUX,MSCI EAFE NR USD,209,57,"1,017,884,956",2.81,9.45,17.84,1.18,6.99,10.9,6.59,15.93,15.39,1.98,1.01,7.49,2.52,10.52,14.63,2.52,1.84,-0.22,24.15,26.34
2005,Lazard International Equity Instl,LZIEX,MSCI EAFE NR USD,64,60,"1,092,046,635",3.23,8.68,17.03,1.21,2.08,10.47,5.08,17.8,15.38,2.28,1.25,6.54,2.66,10.14,13.24,1.83,1.34,7.16,22.92,26.34
2005,JPMorgan International Rsrch Enh Eq I,OIEAX,MSCI EAFE NR USD,"1,266",14,"1,121,613,736",2.89,8.52,17.04,1.08,2.1,9.73,4.96,15.48,12.36,2.15,1.05,7.44,2.66,11.32,15.7,3.5,1.96,2.44,26.64,26.34
2005,Northern International Equity,NOIGX,MSCI EAFE NR USD,64,64,"1,313,232,806",0.59,2.1,18.05,0.11,4.5,9.13,5.76,18.53,16.83,2.49,1.22,8.81,2.14,10.96,15.63,3.59,-0.49,4.48,25.04,26.34
2005,T. Rowe Price International Value Eq,TRIGX,MSCI EAFE NR USD,200,27,"1,314,126,399",2.77,9.24,15.41,1.06,3.19,9.84,5.18,16,13.86,2.04,1,6.33,2.86,10.71,16.12,5.76,1.25,8.56,29.92,26.34
2005,GuideStone Funds International Eq Instl,GIEYX,MSCI EAFE NR USD,541,30,"1,322,416,179",3.12,9.77,17.42,1.35,1.63,12.23,6.95,16.97,14.99,2.23,1.32,8.03,2.39,11.91,13.2,5.17,3.84,5.47,23.78,26.34
2005,Goldman Sachs Intl Eq Insghts Instl,GCIIX,MSCI EAFE NR USD,259,73,"1,365,678,605",2.22,7,15.4,0.84,2.34,8.66,4.56,14.37,13.92,1.88,0.84,6.2,2.58,10,18.35,2.56,2.73,5.06,27.76,26.34
2005,Nationwide International Index R6,GIXIX,MSCI EAFE NR USD,"1,102",12,"1,595,758,573",3.05,9.3,16.89,1.16,1.92,10.89,5.38,17.23,15.16,2.25,1.15,7.8,2.77,11.18,14.93,3.02,1.81,4.48,26.16,26.34
2005,Deutsche CROCIÂ International S,SCINX,MSCI EAFE NR USD,94,57,"1,625,864,594",3.23,10.37,16.34,1.35,4.77,12.3,6.23,19.61,14.56,2.34,1.21,10.12,2.21,14.4,21.22,4.95,1.67,7.07,26.15,26.34
2005,BNY Mellon International M,MPITX,MSCI EAFE NR USD,246,45,"1,932,425,829",2.47,7.9,15.42,0.92,2.47,8.42,3.97,14.44,14.98,1.83,0.92,7.7,2.91,9.99,9.13,2.29,2.36,-4.12,23.73,26.34
2005,Mondrian International Equity,DPIEX,MSCI EAFE NR USD,60,10,"1,962,843,902",3.01,8.41,14.35,1.15,1.43,12.42,6.16,19.28,13.91,2.23,1.22,8.24,3.25,10.62,17.69,5.28,2.58,2.22,30.34,26.34
2005,American Beacon International Eq Instl,AAIEX,MSCI EAFE NR USD,217,37,"2,527,537,408",2.79,8.29,14.7,1.08,2.1,10.49,5.33,17.67,14.62,2.1,1.06,6.68,3.34,10.8,13.26,2.71,2.95,4.2,26.29,26.34
2005,JPMorgan International Equity I,VSIEX,MSCI EAFE NR USD,86,22,"2,853,966,043",3.49,10.81,16.44,1.32,2.27,12.17,6.55,19.84,14.79,2.35,1.3,9.85,2.89,11.34,15.48,5.58,0.09,5.23,22.86,26.34
2005,Longleaf Partners International,LLINX,MSCI EAFE NR USD,23,17,"2,866,283,113",2.08,8.98,15.75,1.13,12.06,7.76,6.36,16.2,17.08,1.33,0.95,7.36,1.32,11.56,23.79,2.11,1.46,5.84,17.07,26.34
2005,American Century International Gr Inv,TWIEX,MSCI EAFE NR USD,96,89,"2,899,777,776",3.91,11.66,18.53,1.4,2.97,11.01,6.97,20.16,16.99,2.94,1.3,9.74,2.59,13.97,17.25,5.78,4.24,7.92,25,26.34
2005,SEI International Equity F (SIT),SEITX,MSCI EAFE NR USD,748,80,"3,301,727,446",2.9,9.01,16.52,1.13,2.29,9.76,5.43,17.04,14.35,2.17,1.1,7.43,2.49,11.59,17.03,3.49,1.04,4.96,26,26.34
2005,Thornburg International Value A,TGVAX,MSCI EAFE NR USD,66,34,"4,760,119,202",3.35,11.57,18.63,1.68,5.78,11.31,6.78,18.23,16.87,2.31,1.51,7.52,1.92,11.79,19.86,8.59,8.08,14.42,25.62,26.34
2005,GMO International Equity III,GMOIX,MSCI EAFE NR USD,368,46,"5,998,913,042",2.68,8.23,14.39,0.89,2.88,10.24,5.18,20.88,12.61,2.07,0.92,6.92,3.05,8.66,11.26,4.44,-1.21,3.92,25.33,26.34
2005,Putnam International Equity A,POVSX,MSCI EAFE NR USD,334,75,"6,214,875,009",3.11,8.77,15.05,1.28,2.2,11.55,5.65,17.5,14.25,2.13,1.21,6.85,2.69,11.3,14.96,2.78,3.56,6.13,28.2,26.34
2005,GMO Foreign III,GMOFX,MSCI EAFE NR USD,420,23,"6,559,526,411",2.84,8.49,15.85,1.03,2.58,9.62,4.85,16.65,14.36,2.15,1.03,6.97,2.71,10.45,14.85,3.03,-0.99,2.02,27.12,26.34
2005,Morgan Stanley Inst International Eq I,MSIQX,MSCI EAFE NR USD,83,28,"7,752,354,386",3.35,8.69,16.56,1.2,2.53,9.22,6.23,21.96,14.47,2.59,1.18,8.13,2.98,11.04,13.99,1.9,2.63,-0.25,22.5,26.34
2005,First Eagle Overseas A,SGOVX,MSCI EAFE NR USD,289,19,"9,365,695,773",2.18,11.21,18.37,1.31,2.16,16.69,6.39,14.09,18.93,1.93,1.19,8.75,2.02,11.85,7.95,4.17,1.11,5.9,22.29,26.34
2005,Harbor International Institutional,HAINX,MSCI EAFE NR USD,86,13,"11,795,302,878",3.02,9.3,17.61,1.37,3.08,13.83,6.57,17.87,15.58,2.4,1.36,7.36,2.35,13.37,21.05,3.97,4.48,8.7,32.69,26.34
2005,Artisan International Investor,ARTIX,MSCI EAFE NR USD,99,56,"12,102,076,922",3.19,11.97,19.01,1.34,4.09,10.76,4.86,15.89,16.91,2.39,1.32,11.31,1.81,12.34,18.24,7.06,1.24,3.13,25.56,26.34
2005,Dodge & Cox International Stock,DODFX,MSCI EAFE NR USD,75,7,"13,231,324,829",2.23,7.66,17.28,0.89,7.85,6.41,5.4,13.63,18.63,1.82,0.8,7.98,1.85,11.67,12.2,2.8,2.27,-7.86,28.01,26.34
2005,Sit Developing Markets Growth,SDMGX,MSCI EM NR USD,75,30,"15,150,547",3.4,11.45,18.36,2.34,15.29,17.2,10.56,22.26,15.23,2.43,1.79,8.29,2.32,17.15,37.2,18.42,19.28,21.38,31.59,32.14
2005,AllianzGI Emerging Markets Opps Instl,AOTIX,MSCI EM NR USD,106,59,"28,347,223",3.14,9.39,11.13,1.46,4.18,13.26,10.57,24.87,14.88,2.58,1.12,6.46,2.1,24.5,-0.11,-16.58,14.38,25.95,38.33,32.14
2005,Pear Tree PanAgora Emerging Mkts Ord,QFFOX,MSCI EM NR USD,78,53,"104,456,172",2.61,8.29,11.63,1.15,3.66,13.81,10.8,24.58,10.11,1.9,0.99,5.13,3.28,16.66,30.47,15.63,15.66,15.98,31.5,32.14
2005,ICON Emerging Markets S,ICARX,MSCI EM NR USD,139,186,"125,960,740",3.14,17.49,28.69,1.1,1.33,7.35,5.65,12.95,20.38,2.73,1.03,9.15,0.83,21.72,17.95,6.48,-2.43,-1.27,9.02,32.14
2005,T. Rowe Price Instl Emerging Mkts Eq,IEMFX,MSCI EM NR USD,141,57,"147,347,453",3.44,10.7,16.42,1.62,4.82,14.18,10.48,25.57,13.62,2.5,1.38,4.48,2.13,16.65,-2.06,-1.38,16.29,16.88,31.99,32.14
2005,Ivy Emerging Markets Equity A,IPOAX,MSCI EM NR USD,92,87,"160,280,817",2.51,8.68,13.1,1.4,1.3,18.73,10.86,21.13,11.86,1.83,1.12,5.79,2.57,14.91,25.02,9.35,15.98,15.96,34.48,32.14
2005,Principal Intl Emerging Markets R5,PEPSX,MSCI EM NR USD,143,181,"162,910,676",2.82,7.57,12.77,1.15,3.99,14.26,10.78,24.55,11.2,2.05,0.93,5.28,2.73,17.15,32.55,12.91,18.3,23,36.94,32.14
2005,Driehaus Emerging Markets Growth,DREGX,MSCI EM NR USD,82,350,"230,542,536",3.68,13.56,18.96,1.91,4.52,11.6,9.19,23.69,16.37,2.6,1.33,9.74,0.93,26.71,-11.2,-12.05,11.35,19.39,41.22,32.14
2005,JPMorgan Emerging Markets Equity L,JMIEX,MSCI EM NR USD,64,149,"230,575,892",3.82,10.58,15.54,1.65,7.65,16.54,12.64,27.37,13.07,2.82,1.22,7.68,2.68,15.12,27.95,13.95,18.47,18.72,34.89,32.14
2005,BlackRock Emerging Mkts Instl,MADCX,MSCI EM NR USD,104,110,"241,560,194",2.58,8.8,13.34,1.09,2.98,12.69,10.25,22.12,11.95,2,0.91,5.41,3.17,17.42,18.97,11.12,7.47,14.9,27.81,32.14
2005,Deutsche Emerging Markets Equity S,SEMGX,MSCI EM NR USD,129,126,"269,634,475",2.82,7.72,12.55,1.33,10.32,16.06,11.36,24.5,6.96,1.97,0.9,4.53,2.66,16.29,19.02,9.49,18.68,26.98,30.55,32.14
2005,PACE International Em Mkts Eq P,PCEMX,MSCI EM NR USD,178,119,"282,240,847",2.45,7.5,13.05,1.14,5.86,15.24,9.13,21.9,12.16,1.92,0.97,4.38,3.61,17.69,17.13,9.7,12.22,19.36,30.72,32.14
2005,Pioneer Emerging Markets A,PEMFX,MSCI EM NR USD,134,69,"288,636,381",2.5,9.46,16.18,1.06,5.36,11.56,8.44,19.5,14.05,1.87,0.91,5.59,3.03,19.42,-3.58,0.98,14.79,9.66,35.16,32.14
2005,Consulting Group Emerging Markets Eq,TEMUX,MSCI EM NR USD,353,70,"291,084,919",2.39,8.08,12.76,1.2,5.82,14.74,9.7,20.85,11.92,1.76,0.94,4.29,2.96,16.61,23.82,13.21,14.98,17.78,30.77,32.14
2005,Virtus Vontobel Emerging Markets Opps I,HIEMX,MSCI EM NR USD,67,43,"334,522,560",3.04,9.08,14.67,1.41,6.5,15.23,9.79,21.6,13.36,2.26,1.16,6.06,2.56,14.98,19.53,11.27,13.92,21.37,29.6,32.14
2005,American Century Emerging Markets Inv,TWMIX,MSCI EM NR USD,104,153,"369,281,394",3.09,9.52,16.61,1.38,4.63,11.81,9.78,22.46,14.69,2.16,0.95,6.74,1.81,34.67,10.35,7.88,10.38,14.62,42.59,32.14
2005,Invesco Developing Markets A,GTDDX,MSCI EM NR USD,120,40,"382,812,971",3.63,10.26,15.33,1.41,6.7,13.82,11.39,27.14,13.46,2.58,1,6.77,2.25,20.3,31.27,11.27,17.47,14.12,38.83,32.14
2005,Wells Fargo Emerging Markets Equity Adm,EMGYX,MSCI EM NR USD,162,86,"388,209,343",2.04,7.19,13.53,1.17,7.22,13.86,8.28,17.85,12.39,1.65,0.93,4.29,2.75,13.46,21.68,7.84,5.85,20.54,46.72,32.14
2005,Goldman Sachs Emerging Markets Eq Instl,GEMIX,MSCI EM NR USD,79,91,"408,188,721",3.25,9.02,13.46,1.55,5.36,13.77,10.34,24.6,12.09,2.64,1.45,8.36,2.59,18.16,31.49,13.44,17.78,13.9,28.37,32.14
2005,VYÂ JPMorgan Emerging Markets Equity S,IJPIX,MSCI EM NR USD,69,85,"413,430,322",3.71,10.73,14.74,1.62,6.26,16.04,12.6,26.27,12.74,2.57,1.08,7.05,2.73,15.09,28.05,13.22,18.87,19.46,35.79,32.14
2005,Parametric Tax-Managed Emerg Mkt Instl,EITEX,MSCI EM NR USD,826,7,"427,412,928",2.32,8.16,14.09,1.32,3.04,15.21,8.91,19.88,11.6,1.89,1.14,5.74,3.27,15.59,14.97,6.77,11.92,17.34,37.99,32.14
2005,GuideMarkÂ Emerging Markets Service,GMLVX,MSCI EM NR USD,75,20,"642,716,971",2.25,6.18,15.45,0.58,39.86,10.2,8.31,15.48,15.15,1.83,0.56,3.9,2.19,8.55,9.45,11.44,2.79,14.89,20.76,32.14
2005,Columbia Emerging Markets Z,UMEMX,MSCI EM NR USD,79,21,"724,259,111",2.73,7.89,13.1,1.3,5.92,15.86,11.05,22.13,4.53,2.09,0.86,5.77,2.29,13.41,36.25,20.19,29.9,24.02,33.79,32.14
2005,Acadian Emerging Markets Investor,AEMGX,MSCI EM NR USD,208,54,"800,238,946",1.81,5.87,9.79,0.83,0.76,14.81,11.37,24.29,5.43,1.42,0.72,3.35,4.07,16.79,40.38,16.51,15.09,15.93,32.67,32.14
2005,Delaware Emerging Markets Instl,DEMIX,MSCI EM NR USD,94,25,"1,308,546,953",2.19,7.07,12.04,1.32,5.28,19.26,9.34,22.54,12.21,1.93,1.12,6.55,4.98,13.95,15.13,9.54,15.46,5.21,27.45,32.14
2005,SEI Emerging Markets Equity F (SIT),SIEMX,MSCI EM NR USD,391,69,"1,348,211,049",2.59,8.01,13.48,1.21,6.08,13.85,9.72,21.71,10.9,2,1.01,5.95,2.96,15.81,14.34,9.66,15.28,13.74,27.03,32.14
2005,State Street Disciplined Em Mkts Eq N,SSEMX,MSCI EM NR USD,307,53,"1,388,586,532",2.74,8.19,12.48,1.19,5,15.04,10.12,22.88,11.41,1.97,0.97,3.95,3.23,17.78,30.38,14.96,16.19,16.53,33.46,32.14
2005,Dreyfus Emerging Markets A,DRFMX,MSCI EM NR USD,172,41,"1,392,572,167",1.87,6.23,11.32,0.91,6.45,12.56,7.88,17.67,11.94,1.43,0.74,4.9,3.98,12.04,15.01,8.91,14.27,10.74,27.18,32.14
2005,BNY Mellon Emerging Markets M,MEMKX,MSCI EM NR USD,216,43,"1,451,337,809",1.88,6.28,11.45,0.9,6.11,12.32,7.86,17.69,11.91,1.46,0.73,4.86,3.89,12.09,14.93,8.73,15.22,11.78,27.63,32.14
2005,T. Rowe Price Emerging Markets Stock,PRMSX,MSCI EM NR USD,138,53,"1,542,492,006",3.44,10.67,16.33,1.62,4.76,14.21,10.53,25.64,13.63,2.5,1.38,4.48,2.14,16.62,-1.87,-1.2,16.39,17.21,32.01,32.14
2005,Lazard Emerging Markets Equity Instl,LZEMX,MSCI EM NR USD,93,48,"1,632,340,913",2.84,6.79,11.54,1.27,9.26,15.35,11.15,27.63,12.72,2.43,1.07,3.72,2.33,16.08,23.69,13.75,15.33,26.48,30.32,32.14
